id,region,departement,code Departement ,code_INSEE_Commune,ville,nombre_de_Contribuables,moyenne_Actifs_Euros,moyenne_Impot_Euros,annee,code_Region
172,ILE-DE-FRANCE,VAL-DE-MARNE,94,18,CHARENTON LE PONT,211,2127032,8118,2020,8
173,ILE-DE-FRANCE,VAL-DE-MARNE,94,18,CHARENTON LE PONT,228,2152178,8343,2021,8
174,ILE-DE-FRANCE,VAL-DE-MARNE,94,18,CHARENTON LE PONT,245,2176289,8415,2022,8
175,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,19,CHATENAY MALABRY,101,2147625,9064,2019,8
176,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,19,CHATENAY MALABRY,110,2081024,8022,2020,8
177,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,19,CHATENAY MALABRY,114,2125800,8491,2021,8
178,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,19,CHATENAY MALABRY,126,2124573,8238,2022,8
179,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,20,CHATILLON,89,2182222,9474,2019,8
180,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,20,CHATILLON,92,2161120,9204,2020,8
181,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,20,CHATILLON,99,2212116,9699,2021,8
182,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,20,CHATILLON,112,2246086,9911,2022,8
183,ILE-DE-FRANCE,YVELINES,78,146,CHATOU,232,2086994,7527,2019,8
184,ILE-DE-FRANCE,YVELINES,78,146,CHATOU,222,2097904,7571,2020,8
185,ILE-DE-FRANCE,YVELINES,78,146,CHATOU,242,2093601,7388,2021,8
186,ILE-DE-FRANCE,YVELINES,78,146,CHATOU,272,2122436,7476,2022,8
187,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,22,CHAVILLE,108,1859030,6170,2019,8
188,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,22,CHAVILLE,112,1937919,6799,2020,8
189,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,22,CHAVILLE,118,1956542,6861,2021,8
190,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,22,CHAVILLE,143,1965197,6836,2022,8
191,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,23,CLAMART,251,2007314,7012,2019,8
192,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,23,CLAMART,261,2049135,7312,2020,8
193,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,23,CLAMART,294,2069916,7547,2021,8
194,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,23,CLAMART,333,2081259,7541,2022,8
195,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,24,CLICHY,52,2081637,8105,2019,8
196,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,24,CLICHY,59,2274025,9329,2021,8
197,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,24,CLICHY,62,2176911,9074,2022,8
198,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,25,COLOMBES,182,2025123,7339,2019,8
199,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,25,COLOMBES,192,2046991,7268,2020,8
200,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,25,COLOMBES,229,2045460,7322,2021,8
201,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,25,COLOMBES,242,2126991,8046,2022,8
202,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,26,COURBEVOIE,349,2027190,7359,2019,8
203,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,26,COURBEVOIE,377,2043659,7496,2020,8
204,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,26,COURBEVOIE,418,2076787,7699,2021,8
205,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,26,COURBEVOIE,453,2073787,7595,2022,8
206,ILE-DE-FRANCE,VAL-DE-MARNE,94,28,CRETEIL,77,2003732,7380,2019,8
207,ILE-DE-FRANCE,VAL-DE-MARNE,94,28,CRETEIL,78,1986890,7120,2020,8
208,ILE-DE-FRANCE,VAL-DE-MARNE,94,28,CRETEIL,73,2051952,7768,2021,8
209,ILE-DE-FRANCE,VAL-DE-MARNE,94,28,CRETEIL,81,2066568,7757,2022,8
210,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,32,FONTENAY AUX ROSES,74,1989128,7290,2019,8
211,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,32,FONTENAY AUX ROSES,77,2019588,7443,2020,8
212,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,32,FONTENAY AUX ROSES,89,2033532,7491,2021,8
213,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,32,FONTENAY AUX ROSES,94,2025241,7227,2022,8
214,ILE-DE-FRANCE,VAL-DE-MARNE,94,33,FONTENAY SOUS BOIS,271,2331649,9473,2019,8
215,ILE-DE-FRANCE,VAL-DE-MARNE,94,33,FONTENAY SOUS BOIS,270,2354795,9713,2020,8
216,ILE-DE-FRANCE,VAL-DE-MARNE,94,33,FONTENAY SOUS BOIS,275,2350111,9238,2021,8
217,ILE-DE-FRANCE,VAL-DE-MARNE,94,33,FONTENAY SOUS BOIS,289,2464082,9964,2022,8
218,ILE-DE-FRANCE,ESSONNE,91,272,GIF SUR YVETTE,98,2025798,7314,2019,8
219,ILE-DE-FRANCE,ESSONNE,91,272,GIF SUR YVETTE,100,2064804,7524,2020,8
220,ILE-DE-FRANCE,ESSONNE,91,272,GIF SUR YVETTE,105,2076096,7609,2021,8
221,ILE-DE-FRANCE,ESSONNE,91,272,GIF SUR YVETTE,118,2132069,7918,2022,8
222,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,40,ISSY LES MOULINEAUX,348,2027966,7189,2019,8
223,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,40,ISSY LES MOULINEAUX,380,2035225,7379,2020,8
224,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,40,ISSY LES MOULINEAUX,449,2058724,7522,2021,8
225,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,40,ISSY LES MOULINEAUX,504,2055431,7464,2022,8
226,ILE-DE-FRANCE,VAL-DE-MARNE,94,38,L'HAY LES ROSES,56,2032772,8003,2019,8
227,ILE-DE-FRANCE,VAL-DE-MARNE,94,38,L'HAY LES ROSES,57,1985493,7559,2020,8
228,ILE-DE-FRANCE,VAL-DE-MARNE,94,38,L'HAY LES ROSES,61,1966281,7305,2021,8
229,ILE-DE-FRANCE,VAL-DE-MARNE,94,38,L'HAY LES ROSES,64,1952700,7438,2022,8
230,ILE-DE-FRANCE,YVELINES,78,126,LA CELLE-SAINT-CLOUD,189,2106718,7394,2019,8
231,ILE-DE-FRANCE,YVELINES,78,126,LA CELLE-SAINT-CLOUD,195,2290647,7477,2020,8
232,ILE-DE-FRANCE,YVELINES,78,126,LA CELLE-SAINT-CLOUD,205,2081858,7169,2021,8
233,ILE-DE-FRANCE,YVELINES,78,126,LA CELLE-SAINT-CLOUD,217,2133828,7671,2022,8
234,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,35,LA GARENNE COLOMBES,143,2077514,7931,2019,8
235,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,35,LA GARENNE COLOMBES,165,2197033,9272,2020,8
236,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,35,LA GARENNE COLOMBES,178,2181441,8796,2021,8
237,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,35,LA GARENNE COLOMBES,194,2199215,9203,2022,8
238,ILE-DE-FRANCE,YVELINES,78,158,LE CHESNAY-ROCQUENCOURT,271,1957630,6340,2019,8
239,ILE-DE-FRANCE,YVELINES,78,158,LE CHESNAY-ROCQUENCOURT,320,2043637,7073,2020,8
240,ILE-DE-FRANCE,YVELINES,78,158,LE CHESNAY-ROCQUENCOURT,355,2140067,7867,2021,8
241,ILE-DE-FRANCE,YVELINES,78,158,LE CHESNAY-ROCQUENCOURT,379,2146550,7995,2022,8
242,ILE-DE-FRANCE,VAL-DE-MARNE,94,58,LE PERREUX SUR MARNE,176,2164142,8402,2019,8
243,ILE-DE-FRANCE,VAL-DE-MARNE,94,58,LE PERREUX SUR MARNE,173,2113725,7758,2020,8
244,ILE-DE-FRANCE,VAL-DE-MARNE,94,58,LE PERREUX SUR MARNE,195,2162983,8636,2021,8
245,ILE-DE-FRANCE,VAL-DE-MARNE,94,58,LE PERREUX SUR MARNE,203,2158288,8492,2022,8
246,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,60,LE PLESSIS ROBINSON,61,2099971,7346,2019,8
247,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,60,LE PLESSIS ROBINSON,70,2154687,7935,2020,8
248,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,60,LE PLESSIS ROBINSON,71,2219919,8732,2021,8
249,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,60,LE PLESSIS ROBINSON,75,2201628,8423,2022,8
250,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93,45,LES LILAS,51,2027136,7320,2020,8
251,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93,45,LES LILAS,53,1939892,6790,2021,8
252,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93,45,LES LILAS,58,2470766,13988,2022,8
253,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,44,LEVALLOIS-PERRET,593,2301775,9777,2019,8
254,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,44,LEVALLOIS-PERRET,633,2316840,9453,2020,8
255,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,44,LEVALLOIS-PERRET,674,2337482,9485,2021,8
256,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,44,LEVALLOIS-PERRET,732,2332997,9423,2022,8
257,ILE-DE-FRANCE,VAL-DE-MARNE,94,46,MAISONS-ALFORT,110,2081845,7917,2019,8
